Item,PartNo,PartName_CN,Qty,Material,Process,SurfaceTreatment,StandardOrCustom,DrawingRequired,PhotoReference,CriticalDimensionStatus,Remark
1,"ASM-000","总装",1,"-","装配","-","Custom","No","1-54","待实测确认","双振动盘自动上料分料设备"
2,"PUR-001","左振动盘",1,"SUS304","外购","原厂","Purchased","No","53,54","待实测确认","简化外购件模型"
3,"PUR-002","右振动盘",1,"SUS304","外购","原厂","Purchased","No","53,54","待实测确认","简化外购件模型"
4,"PUR-003","左直振送料器",1,"-","外购","原厂","Purchased","No","41,42,44","待实测确认","安装孔位待确认"
5,"PUR-004","右直振送料器",1,"-","外购","原厂","Purchased","No","41,42,44","待实测确认","安装孔位待确认"
6,"CUS-001","中心安装底板",1,"Q235/45#","机加工","发黑/镀镍/喷塑待定","Custom","Yes","7-15,41-44","待实测确认","基准件"
7,"CUS-002","中心送料槽块",1,"SUS304/45#","机加工","抛光/镀硬铬待定","Custom","Yes","41,42,44","待实测确认","产品接触件"
8,"CUS-003","送料槽上压板",2,"SUS304/45#","机加工","抛光/发黑待定","Custom","Yes","1-6,41-44","待实测确认","与产品间隙待确认"
9,"CUS-004","侧向限位块",2,"SUS304/45#","机加工","抛光/发黑待定","Custom","Yes","1-6,12-15","待实测确认","左右可能不完全相同"
10,"CUS-005","挡料块",2,"SKD11/SUS304","机加工","淬火/发黑待定","Custom","Yes","45-47","待实测确认","产品接触件"
11,"CUS-006","错位滑块",1,"SKD11/45#","机加工","淬火/发黑待定","Custom","Yes","45-47","待实测确认","需建立伸缩配置"
12,"CUS-007","主推料推块",1,"SKD11/SUS304","机加工","淬火/镀硬铬待定","Custom","Yes","29,49,50,52","待实测确认","产品接触件"
13,"CUS-008","主气缸安装座",1,"Q235/45#","机加工","发黑/镀镍待定","Custom","Yes","49-52","待实测确认","气缸型号待确认"
14,"CUS-009","导杆支撑块",2,"45#/6061","机加工","发黑/本色氧化待定","Custom","Yes","28-34","待实测确认","导杆直径和孔距待确认"
15,"CUS-010","机械限位块",2,"45#/SUS304","机加工","发黑待定","Custom","Yes","28-34","待实测确认","限位位置待确认"
16,"WLD-001","机架焊接件",1,"Q235方管","焊接","喷塑","Custom","Yes","53,54","待实测确认","也可改4040/4080铝型材"
17,"PUR-005","主推料气缸",1,"-","外购","原厂","Purchased","No","49,50,52","待实测确认","缸径、行程、安装方式待确认"
18,"PUR-006","挡料/错位气缸",1,"-","外购","原厂","Purchased","No","45-47","待实测确认","缸径、行程、安装方式待确认"
19,"STD-001","导杆/直线轴承",1,"标准件","外购","原厂","Standard","No","28-34","待实测确认","规格待确认"
20,"CUS-011","传感器/光源支架",1,"6061/Q235","机加工/钣金","氧化/喷塑待定","Custom","Yes","35-40,53,54","待实测确认","检测位置待确认"

