ParamName,ParamName_CN,Value,Unit,CriticalDimensionStatus,PhotoReference,Remark
Product_L,产品长度,,mm,待实测确认,,产品实际长度
Product_W,产品宽度,,mm,待实测确认,,产品实际宽度
Product_H,产品高度,,mm,待实测确认,,产品实际高度
Product_M,单件重量,,g,待实测确认,,产品单件重量
Bowl_D,振动盘直径,,mm,待实测确认,"53,54",左右振动盘分别确认
Rail_L,直线送料轨道长度,,mm,待实测确认,"41,42,44",左右直振分别确认
Rail_W,送料槽宽度,,mm,待实测确认,"41,42,44",与产品接触尺寸
Rail_H,送料槽高度,,mm,待实测确认,"41,42,44",含槽深和盖板间隙
Stroke_Main,主推料气缸行程,,mm,待实测确认,"49,50,52",照片标注仅作线索
Stroke_Stopper,挡料/错位气缸行程,,mm,待实测确认,"45,46,47",照片标注仅作线索
Overall_L,整机长度,,mm,待实测确认,"53,54",整机外形尺寸
Overall_W,整机宽度,,mm,待实测确认,"53,54",整机外形尺寸
Overall_H,整机高度,,mm,待实测确认,"53,54",整机外形尺寸
Plate_T,主要板件厚度,,mm,待实测确认,1-52,各板件需逐件确认
Hole_D,安装孔直径,,mm,待实测确认,1-52,孔径、孔距、沉孔、螺纹孔需逐项确认
Rail_Insert_Depth,直振插入中间机构深度,,mm,待实测确认,"41,42,44",照片中约5公分仅作线索

