PartNo,PartName_CN,Module,PartCategory,Material,Process,SurfaceTreatment,DrawingRequired,ParamDriven,ProductContact,PhotoReference,CriticalDimensionStatus,Remark
CUS-001,中心安装底板,中间分料定位组件,加工件,Q235/45#,机加工,发黑/镀镍/喷塑待定,Yes,Yes,No,"7-15,41-44",待实测确认,第一版详细建模
CUS-002,中心送料槽块,中间分料定位组件,加工件,SUS304/45#,机加工,抛光/镀硬铬待定,Yes,Yes,Yes,"41,42,44",待实测确认,产品接触面需重点确认
CUS-003,送料槽上压板,中间分料定位组件,加工件,SUS304/45#,机加工,抛光/发黑待定,Yes,Yes,Yes,"1-6,41-44",待实测确认,盖板间隙待确认
CUS-004,侧向限位块,中间分料定位组件,加工件,SUS304/45#,机加工,抛光/发黑待定,Yes,Yes,Yes,"1-6,12-15",待实测确认,左右可能不同
CUS-005,挡料块,挡料/错位气缸组件,加工件,SKD11/SUS304,机加工,淬火/发黑待定,Yes,Yes,Yes,45-47,待实测确认,挡料端面需倒角
CUS-006,错位滑块,挡料/错位气缸组件,加工件,SKD11/45#,机加工,淬火/发黑待定,Yes,Yes,Yes,45-47,待实测确认,需建伸出/缩回配置
CUS-007,主推料推块,主推料气缸组件,加工件,SKD11/SUS304,机加工,淬火/镀硬铬待定,Yes,Yes,Yes,"29,49,50,52",待实测确认,不能由气缸杆直接承侧向力
CUS-008,主气缸安装座,主推料气缸组件,加工件,Q235/45#,机加工,发黑/镀镍待定,Yes,Yes,No,49-52,待实测确认,气缸型号待确认
CUS-009,导杆支撑块,导杆/滑块/限位组件,加工件,45#/6061,机加工,发黑/本色氧化待定,Yes,Yes,No,28-34,待实测确认,导杆孔同轴度需控制
CUS-010,机械限位块,导杆/滑块/限位组件,加工件,45#/SUS304,机加工,发黑待定,Yes,Yes,No,28-34,待实测确认,限位位置待确认
CUS-011,传感器/光源支架,传感器/光源支架组件,加工件/钣金件,6061/Q235,机加工/钣金,氧化/喷塑待定,Yes,Yes,No,"35-40,53,54",待实测确认,预留调节槽
WLD-001,机架焊接件,机架和安装底板组件,焊接件,Q235方管,焊接,喷塑,Yes,Yes,No,"53,54",待实测确认,振动盘区域需加强和减振

